Date,Price,Open,High,Low,Vol.,Change %,Volume
4/01/2010,653.56,651.5,657.36,650.3,459.89K,0.35%,459890
5/01/2010,655,653.56,657.42,638.75,344.85K,0.22%,344850
6/01/2010,646.15,654.5,656.5,644.5,306.75K,-1.35%,306750
7/01/2010,631.31,645,645,629.5,1.08M,-2.30%,1.08M
8/01/2010,616.11,643.81,643.81,615,750.77K,-2.41%,750770
11/01/2010,622.14,617.51,626.5,617.51,591.28K,0.98%,591280
12/01/2010,646.86,625,648.25,625,2.20M,3.97%,2.20M
13/01/2010,671.56,648.02,675.02,643.75,2.76M,3.82%,2.76M
14/01/2010,672.27,675.25,677.5,663.08,1.70M,0.11%,1.70M
15/01/2010,668.85,672.5,672.5,663.85,355.76K,-0.51%,355760
18/01/2010,669.8,665.05,672.06,663.75,643.54K,0.14%,643540
19/01/2010,659.11,668.5,669.85,657,243.36K,-1.60%,243360
20/01/2010,663.23,662,667.48,659.11,188.93K,0.63%,188930
21/01/2010,655.3,660,665.75,650.15,220.54K,-1.20%,220540
22/01/2010,643.26,653.1,653.1,637.83,596.09K,-1.84%,596090
25/01/2010,634.46,637.49,639.92,629.27,361.33K,-1.37%,361330
27/01/2010,624.6,632.25,632.75,621.6,257.96K,-1.55%,257960
28/01/2010,623.59,632.75,638.75,621.5,349.90K,-0.16%,349900
29/01/2010,619.17,620,636.25,601.54,392.77K,-0.71%,392770
1/02/2010,612.3,617.5,631,597.75,658.21K,-1.11%,658210
2/02/2010,609.41,624,624.75,605.59,451.98K,-0.47%,451980
3/02/2010,617.55,612.25,624.5,612.25,235.25K,1.34%,235250
4/02/2010,605.8,615.25,617.48,603.09,302.20K,-1.90%,302200
5/02/2010,588.05,595.75,599,583.25,567.11K,-2.93%,567110
6/02/2010,595.04,595,597.38,592.75,41.28K,1.19%,41280
8/02/2010,600.19,596.5,609.25,586.56,329.51K,0.87%,329510
9/02/2010,617.73,600.25,618.91,598.5,545.44K,2.92%,545440
10/02/2010,617.92,620.5,623.7,612.5,376.50K,0.03%,376500
11/02/2010,624.42,618.25,629.17,618.25,700.91K,1.05%,700910
15/02/2010,624.38,627.25,633.01,619,254.84K,-0.01%,254840
16/02/2010,633.91,628.75,636.44,621.75,274.06K,1.53%,274060
17/02/2010,629.99,639.5,639.98,628.06,350.89K,-0.62%,350890
18/02/2010,633.65,631,636.73,624,265.76K,0.58%,265760
19/02/2010,632.39,629,635.5,629,284.16K,-0.20%,284160
