Date,Price,ARIMA_Orange,VAR_Orange,ARIMA_Exploratory,Prophet_Exploratory,Error_ARIMA_Orange,Error_VAR_Orange,Error_ARIMA_Exploratory,Error_Prophet_Exploratory
,,,,,,,,,
1/01/2024,"1,551.25",1544.76,1543.87,1546.376506,1479.888882,6.49,7.38,4.873494003,71.36
2/01/2024,"1,534.95",1544.47,1545.49,1546.376506,1590.785306,-9.52,-10.54,-11.426506,-55.84
3/01/2024,"1,490.20",1543.96,1546.89,1546.376506,1482.082199,-53.76,-56.69,-56.176506,8.12
4/01/2024,"1,512.20",1543.31,1548.37,1546.376506,1482.636154,-31.11,-36.17,-34.176506,29.56
5/01/2024,"1,532.90",1542.7,1549.89,1546.376506,1488.10927,-9.8,-16.99,-13.476506,44.79
8/01/2024,"1,522.95",1540.9,1554.6,1546.376506,1485.348138,-17.95,-31.65,-23.426506,37.6
9/01/2024,"1,529.15",1540.3,1556.21,1546.376506,1595.562303,-11.15,-27.06,-17.226506,-66.41
10/01/2024,"1,519.65",1539.7,1557.84,1546.376506,1486.153347,-20.05,-38.19,-26.726506,33.5
11/01/2024,"1,495.00",1539.1,1559.47,1546.376506,1485.066619,-44.1,-64.47,-51.376506,9.93
12/01/2024,"1,612.20",1538.5,1561.12,1546.376506,1488.763345,73.7,51.08,65.823494,123.44
15/01/2024,"1,652.00",1536.71,1566.08,1546.376506,1495.56516,115.29,85.92,105.623494,156.43
16/01/2024,"1,630.95",1536.11,1567.74,1546.376506,1609.579594,94.84,63.21,84.573494,21.37
17/01/2024,"1,639.90",1534.92,1569.4,1546.376506,1499.847451,104.98,70.5,93.523494,140.05
18/01/2024,"1,642.60",1534.32,1571.05,1546.376506,1494.913859,108.28,71.55,96.223494,147.69
19/01/2024,"1,658.95",1533.73,1572.71,1546.376506,1493.910524,125.22,86.24,112.573494,165.04
20/01/2024,"1,648.75",1533.14,1574.36,1546.376506,1494.963687,115.61,74.39,102.373494,153.79
23/01/2024,"1,642.20",1531.36,1579.29,1546.376506,1610.987149,110.84,62.91,95.823494,31.21
24/01/2024,"1,674.50",1530.77,1580.92,1546.376506,1501.717943,143.73,93.58,128.123494,172.78
25/01/2024,"1,670.80",1530.18,1582.55,1546.376506,1496.353397,140.62,88.25,124.423494,174.45
29/01/2024,"1,655.90",1527.82,1588.96,1546.376506,1494.498504,128.08,66.94,109.523494,161.4
30/01/2024,"1,650.80",1527.23,1590.55,1546.376506,1611.521955,123.57,60.25,104.423494,39.28
31/01/2024,"1,662.10",1526.64,1592.12,1546.376506,1503.88791,135.46,69.98,115.723494,158.21
1/02/2024,"1,656.45",1526.06,1593.68,1546.376506,1498.380425,130.39,62.77,110.073494,158.07
2/02/2024,"1,693.85",1525.47,1595.23,1546.376506,1494.454544,168.38,98.62,147.473494,199.4
5/02/2024,"1,686.75",1523.72,1599.83,1546.376506,1491.488164,163.03,86.92,140.373494,195.26
6/02/2024,"1,729.25",1523.13,1601.34,1546.376506,1606.421639,206.12,127.91,182.873494,122.83
7/02/2024,"1,693.70",1522.55,1602.85,1546.376506,1496.847098,171.15,90.85,147.323494,196.85
8/02/2024,"1,693.20",1521.96,1604.34,1546.376506,1490.414623,171.24,88.86,146.823494,202.79
9/02/2024,"1,669.65",1521.38,1605.82,1546.376506,1486.214675,148.27,63.83,123.273494,183.44
12/02/2024,"1,679.80",1519.64,1610.19,1546.376506,1480.964957,160.16,69.61,133.423494,198.84
13/02/2024,"1,684.60",1519.06,1611.63,1546.376506,1599.006356,165.54,72.97,138.223494,85.59
14/02/2024,"1,666.00",1518.48,1613.05,1546.376506,1495.506723,147.52,52.95,119.623494,170.49
15/02/2024,"1,677.60",1517.9,1614.47,1546.376506,1495.117253,159.7,63.13,131.223494,182.48
16/02/2024,"1,702.40",1517.32,1615.87,1546.376506,1493.641977,185.08,86.53,156.023494,208.76
19/02/2024,"1,699.45",1515.59,1620.01,1546.376506,1480.611785,183.86,79.44,153.073494,218.84
20/02/2024,"1,684.15",1515.01,1621.37,1546.376506,1597.702205,169.14,62.78,137.773494,86.45
21/02/2024,"1,656.05",1514.44,1622.72,1546.376506,1494.903816,141.61,33.33,109.673494,161.15
22/02/2024,"1,680.25",1513.86,1624.06,1546.376506,1496.001883,166.39,56.19,133.873494,184.25
23/02/2024,"1,677.00",1513.29,1625.39,1546.376506,1496.029139,163.71,51.61,130.623494,180.97
26/02/2024,"1,658.65",1512.14,1628.01,1546.376506,1487.36741,146.51,30.64,112.273494,171.28
27/02/2024,"1,664.75",1511.57,1629.31,1546.376506,1481.662237,153.18,35.44,118.373494,183.09
28/02/2024,"1,670.10",1511,1630.59,1546.376506,1597.468954,159.1,39.51,123.723494,72.63
29/02/2024,"1,675.05",1510.42,1631.87,1546.376506,1495.058176,164.63,43.18,128.673494,179.99
