Date,Price,Open,High,Low,Vol.,Change %
29/12/2023,21731.4,21737.65,21770.3,21676.9,270.92B,-0.22%
28/12/2023,21778.7,21715,21801.45,21678,393.08B,0.57%
27/12/2023,21654.75,21497.65,21675.75,21495.8,256.54B,1.00%
26/12/2023,21441.35,21365.2,21477.15,21329.45,219.47B,0.43%
22/12/2023,21349.4,21295.85,21390.5,21232.45,284.71B,0.44%
21/12/2023,21255.05,21033.95,21288.35,20976.8,277.55B,0.50%
20/12/2023,21150.15,21543.5,21593,21087.35,363.89B,-1.41%
19/12/2023,21453.1,21477.65,21505.05,21337.75,249.75B,0.16%
18/12/2023,21418.65,21434.8,21482.8,21365.35,249.67B,-0.18%
15/12/2023,21456.65,21287.45,21492.3,21235.3,508.76B,1.29%
14/12/2023,21182.7,21110.4,21210.9,21074.45,334.41B,1.23%
13/12/2023,20926.35,20929.75,20950,20769.5,260.27B,0.10%
12/12/2023,20906.4,21018.55,21037.9,20867.15,244.87B,-0.43%
11/12/2023,20997.1,20965.3,21026.1,20923.7,212.92B,0.13%
8/12/2023,20969.4,20934.1,21006.1,20862.7,292.44B,0.33%
7/12/2023,20901.15,20932.4,20941.25,20850.8,274.99B,-0.17%
6/12/2023,20937.7,20950.75,20961.95,20852.15,359.21B,0.40%
5/12/2023,20855.1,20808.9,20864.05,20711.15,421.01B,0.81%
4/12/2023,20686.8,20601.95,20702.65,20507.75,381.11B,2.07%
1/12/2023,20267.9,20194.1,20291.55,20183.7,265.81B,0.67%
30/11/2023,20133.15,20108.5,20158.7,20015.85,486.59B,0.18%
29/11/2023,20096.6,19976.55,20104.65,19956.3,236.24B,1.04%
28/11/2023,19889.7,19844.65,19916.85,19800,229.60B,0.48%
24/11/2023,19794.7,19809.6,19832.85,19768.85,145.90B,-0.04%
23/11/2023,19802,19828.45,19875.15,19786.75,170.02B,-0.05%
22/11/2023,19811.85,19784,19825.55,19703.85,184.50B,0.14%
21/11/2023,19783.4,19770.9,19829.1,19754.05,194.97B,0.45%
20/11/2023,19694,19731.15,19756.45,19670.5,173.78B,-0.19%
17/11/2023,19731.8,19674.75,19806,19667.45,236.83B,-0.17%
16/11/2023,19765.2,19674.7,19875.25,19627,282.69B,0.46%
15/11/2023,19675.45,19651.4,19693.2,19579.65,291.47B,1.19%
13/11/2023,19443.55,19486.75,19494.4,19414.75,189.28B,-0.42%
12/11/2023,19525.55,19547.25,19547.25,19510.25,37.31B,0.52%
10/11/2023,19425.35,19351.85,19451.3,19329.45,152.22B,0.15%
9/11/2023,19395.3,19457.4,19463.9,19378.35,208.42B,-0.25%
8/11/2023,19443.5,19449.6,19464.4,19401.5,194.97B,0.19%
7/11/2023,19406.7,19404.05,19423.5,19329.1,198.66B,-0.03%
6/11/2023,19411.75,19345.85,19423,19309.7,180.69B,0.94%
3/11/2023,19230.6,19241,19276.25,19210.9,189.52B,0.51%
2/11/2023,19133.25,19120,19175.25,19064.15,245.60B,0.76%
1/11/2023,18989.15,19064.05,19096.05,18973.7,194.10B,-0.47%
31/10/2023,19079.6,19232.95,19233.7,19056.45,206.05B,-0.32%
30/10/2023,19140.9,19053.4,19158.5,18940,180.13B,0.49%
27/10/2023,19047.25,18928.75,19076.15,18926.65,205.20B,1.01%
26/10/2023,18857.25,19027.25,19041.7,18837.85,300.36B,-1.39%
25/10/2023,19122.15,19286.45,19347.3,19074.15,225.29B,-0.83%
23/10/2023,19281.75,19521.6,19556.85,19257.85,176.04B,-1.34%
20/10/2023,19542.65,19542.15,19593.8,19518.7,198.34B,-0.42%
19/10/2023,19624.7,19545.2,19681.8,19512.35,230.31B,-0.24%
18/10/2023,19671.1,19820.45,19840.95,19659.95,198.94B,-0.71%
17/10/2023,19811.5,19843.2,19849.75,19775.65,185.85B,0.40%
16/10/2023,19731.75,19737.25,19781.3,19691.85,180.96B,-0.10%
13/10/2023,19751.05,19654.55,19805.4,19635.3,254.96B,-0.22%
12/10/2023,19794,19822.7,19843.3,19772.65,217.90B,-0.09%
11/10/2023,19811.35,19767,19839.2,19756.95,213.73B,0.62%
10/10/2023,19689.85,19565.6,19717.8,19565.45,216.56B,0.91%
9/10/2023,19512.35,19539.45,19588.95,19480.5,165.09B,-0.72%
6/10/2023,19653.5,19621.2,19675.75,19589.4,159.05B,0.55%
5/10/2023,19545.75,19521.85,19576.95,19487.3,234.87B,0.56%
4/10/2023,19436.1,19446.3,19457.8,19333.6,277.15B,-0.47%
3/10/2023,19528.75,19622.4,19623.2,19479.65,221.72B,-0.56%
29/09/2023,19638.3,19581.2,19726.25,19551.05,243.51B,0.59%
28/09/2023,19523.55,19761.8,19766.65,19492.1,352.81B,-0.98%
27/09/2023,19716.45,19637.05,19730.7,19554,203.56B,0.26%
26/09/2023,19664.7,19682.8,19699.35,19637.45,204.87B,-0.05%
25/09/2023,19674.55,19678.2,19734.15,19601.55,188.40B,0.00%
22/09/2023,19674.25,19744.85,19798.65,19657.5,246.41B,-0.34%
21/09/2023,19742.35,19840.55,19848.75,19709.95,275.13B,-0.80%
20/09/2023,19901.4,19980.75,20050.65,19878.85,378.07B,-1.15%
18/09/2023,20133.3,20155.95,20195.35,20115.7,264.87B,-0.29%
15/09/2023,20192.35,20156.45,20222.45,20129.7,438.19B,0.44%
14/09/2023,20103.1,20127.95,20167.65,20043.45,275.11B,0.16%
13/09/2023,20070,19989.5,20096.9,19944.1,251.39B,0.38%
12/09/2023,19993.2,20110.15,20110.35,19914.65,328.06B,-0.02%
11/09/2023,19996.35,19890,20008.15,19865.35,248.76B,0.89%
8/09/2023,19819.95,19774.8,19867.15,19727.05,288.09B,0.47%
7/09/2023,19727.05,19598.65,19737,19550.05,304.93B,0.59%
6/09/2023,19611.05,19581.2,19636.45,19491.5,287.56B,0.18%
5/09/2023,19574.9,19564.65,19587.05,19525.75,256.83B,0.24%
4/09/2023,19528.8,19525.05,19545.15,19432.85,296.82B,0.48%
1/09/2023,19435.3,19258.15,19458.55,19255.7,333.02B,0.94%
31/08/2023,19253.8,19375.55,19388.2,19223.65,562.56B,-0.48%
30/08/2023,19347.45,19433.45,19452.8,19334.75,233.00B,0.02%
29/08/2023,19342.65,19374.85,19377.9,19309.1,307.39B,0.19%
